title,cost_price,sale_price,description,img0,img1,img2,img3,img4,img5
Gold Kundan Aqua Stone Floral Pendant Necklace Set,2950,1475,"Make a striking statement at the next cocktail-do with this gold-plated kundan pendant necklace set. The pendant, crafted with a long aqua blue stone and a kundan encrusted floral motif, comes with kundan floral stud earrings. , , Style Tip: Complete the look with an aqua blue cocktail ring. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",https://img.faballey.com/images/Product/ZNS00062/d3.jpg,https://img.faballey.com/images/Product/ZNS00062/d4.jpg,https://img.faballey.com/images/Product/ZNS00062/d5.jpg,https://img.faballey.com/images/Product/ZNS00062/d6.jpg,https://img.faballey.com/images/Product/ZNS00062/d7.jpg,
Gold Kundan Dual Pearl Earring Necklace Set,4000,2000,"Elegance takes form in this stunning kundan and pearl necklace set. Features a necklace crafted from strands of minute pearls, kundan stones and pearl drops, along with matching earrings, Style Tip : Pair this set with an off-shoulder blouse for a soft, romantic look.",https://img.faballey.com/images/Product/ZNS00052/d3.jpg,https://img.faballey.com/images/Product/ZNS00052/d4.jpg,https://img.faballey.com/images/Product/ZNS00052/d5.jpg,https://img.faballey.com/images/Product/ZNS00052/d6.jpg,,
Multi Gold Kundan Red Meena Beaded Earring Necklace Set,3500,1750,"This kundan meena set makes a case for minimal show, maximal style. Features a necklace crafted out of with a single string of kundan stones and red meena, topped with delicate bead drops and matching earrings. , Style Tip: Pair the piece with a flowy anarkali for finesse.",https://img.faballey.com/images/Product/ZNS00057/d3.jpg,https://img.faballey.com/images/Product/ZNS00057/d4.jpg,https://img.faballey.com/images/Product/ZNS00057/d5.jpg,https://img.faballey.com/images/Product/ZNS00057/d6.jpg,,
Silver Oxidized Green Stone Star Earring Necklace Set,3500,1750,"Eclectic and bold, this silver and green bead earring necklace set is a winner of an accessory to pair with any and every outfit. Features a distinctive star design necklace with green stone and matching dangler earrings. , Style Tip: Pair this a earthy hued cotton saree to take you from office to a festive-do in style.",https://img.faballey.com/images/Product/ZNS00021/d3.jpg,https://img.faballey.com/images/Product/ZNS00021/d4.jpg,https://img.faballey.com/images/Product/ZNS00021/d5.jpg,https://img.faballey.com/images/Product/ZNS00021/d6.jpg,https://img.faballey.com/images/Product/ZNS00021/d8.jpg,
Gold Red Kundan Bead Earring Necklace Set,3200,1600,"If you love kundan but want to keep it simple and classy this set should be your pick! Features a gold plated white kundan necklace with a single red drop bead along with dangler earrings ,Style Tip: Pair this set with a classic bun to keep the look minimal and sophisticated.",https://img.faballey.com/images/Product/ZNS00003/d3.jpg,https://img.faballey.com/images/Product/ZNS00003/d4.jpg,https://img.faballey.com/images/Product/ZNS00003/d5.jpg,https://img.faballey.com/images/Product/ZNS00003/d6.jpg,,
Gold Maroon Kundan Floral Necklace Set,4500,2250,"Pepper your festive look with the grandeur of this imposing gold-plated maroon kundan necklace set. It features alternating floral and square shaped kundan pieces on a single layer choker necklace along with complementing earrings. , , Style Tip: Pair the set with an off-shoulder neckline. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",https://img.faballey.com/images/Product/ZNS00058/d3.jpg,https://img.faballey.com/images/Product/ZNS00058/d4.jpg,https://img.faballey.com/images/Product/ZNS00058/d5.jpg,https://img.faballey.com/images/Product/ZNS00058/d6.jpg,,
Gold Round Kundan Pearl Earring Necklace Set,3500,1750,"Amp up your festive season glam with this delectable kundan set. Featuring a string of kundan along with pearl drops running along the length of the necklace with pearl and kundan stud earrings , Style Tip : Style this set with an ivory toned saree and a bright blouse for a pop of color.",https://img.faballey.com/images/Product/ZNS00035/d3.jpg,https://img.faballey.com/images/Product/ZNS00035/d4.jpg,https://img.faballey.com/images/Product/ZNS00035/d5.jpg,https://img.faballey.com/images/Product/ZNS00035/d6.jpg,,
Gold Kundan Pearl Earring Necklace Set,4750,2375,"Be it for a day wedding or a night soiree, this gold toned necklace and earring set can be your go-to. Features a necklace crafted of two strings of pearls and square shaped kundan stones along with earrings. , Style Tip: Layer it with a kundan choker for some added bling.",https://img.faballey.com/images/Product/ZNS00044/d3.jpg,https://img.faballey.com/images/Product/ZNS00044/d4.jpg,https://img.faballey.com/images/Product/ZNS00044/d5.jpg,https://img.faballey.com/images/Product/ZNS00044/d6.jpg,,
Gold Kundan Blue Bead Pearl Earring Necklace Set,3500,1750,"Uplift your cocktail look with this white and blue beaded kundan set. Features a statement setting of pearls, blue beads and classic kundan along with dainty stud earrings , Style Tip: Wear this set with your hair pulled back.",https://img.faballey.com/images/Product/ZNS00042/d3.jpg,https://img.faballey.com/images/Product/ZNS00042/d4.jpg,https://img.faballey.com/images/Product/ZNS00042/d5.jpg,https://img.faballey.com/images/Product/ZNS00042/d6.jpg,,
Dual Gold Kundan Pearl Earring Necklace Set,4000,2000,"Make a show stopping entry with this eclectic necklace set. Features double string of pearls attached to red meenakari work outlined kundan, finished off with white pearl drops., Style Tip : Style it with a cream and red lehenga or suit.",https://img.faballey.com/images/Product/ZNS00056/d3.jpg,https://img.faballey.com/images/Product/ZNS00056/d4.jpg,https://img.faballey.com/images/Product/ZNS00056/d5.jpg,https://img.faballey.com/images/Product/ZNS00056/d6.jpg,,
Gold Leaf Kundan Double Pearl Earrings Necklace Set,3500,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings, Style Tip : Pair this set with a beaded clutch.",https://img.faballey.com/images/Product/ZNS00045/d3.jpg,https://img.faballey.com/images/Product/ZNS00045/d4.jpg,https://img.faballey.com/images/Product/ZNS00045/d5.jpg,https://img.faballey.com/images/Product/ZNS00045/d6.jpg,,
White Diamond Floral Bunch Earring Necklace Set,5500,2750,"A delicately detailed diamond set is a evening wear must-have. This diamond earring necklace set features a floral focal pendant. , Style Tip : Style it with a statement silver watch.",https://img.faballey.com/images/Product/ZNS00032/d3.jpg,https://img.faballey.com/images/Product/ZNS00032/d4.jpg,https://img.faballey.com/images/Product/ZNS00032/d5.jpg,https://img.faballey.com/images/Product/ZNS00032/d6.jpg,https://img.faballey.com/images/Product/ZNS00032/d7.jpg,
Gold Kundan Green Bead String Earring Necklace Set,4000,2000,"Classic and timeless, this kundan and green bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green beads., Style Tip: Pair this set with a cocktail ring to complete the look.",https://img.faballey.com/images/Product/ZNS00049/d3.jpg,https://img.faballey.com/images/Product/ZNS00049/d4.jpg,https://img.faballey.com/images/Product/ZNS00049/d5.jpg,https://img.faballey.com/images/Product/ZNS00049/d6.jpg,,
Blue Bead Kundan Earring Necklace Set,3500,1750,"Add color to your evening look with this green beaded piece. Features a double string of blue beads and kundan drops along with earrings , Style Tip: Pair this piece to give your fusion look a stylish edge.",https://img.faballey.com/images/Product/ZNS00050/d3.jpg,https://img.faballey.com/images/Product/ZNS00050/d4.jpg,https://img.faballey.com/images/Product/ZNS00050/d5.jpg,https://img.faballey.com/images/Product/ZNS00050/d6.jpg,,
Green Enamal Kundan Petal Earring Necklace Set,3500,1750,"Eclectic and enchanting, this piece is on top of our wishlist. Features petal shaped kundan with green and red enamel accentuated with green stones., Style Tip : For added effect, pair this up with a matching mangtika.",https://img.faballey.com/images/Product/ZNS00024/d3.jpg,https://img.faballey.com/images/Product/ZNS00024/d4.jpg,https://img.faballey.com/images/Product/ZNS00024/d5.jpg,https://img.faballey.com/images/Product/ZNS00024/d6.jpg,,
White Blue Diamond Drop String Earring Necklace Set,5750,2875,"Add some oomph to your festive look with this white blue diamond necklace. Features blue diamonds encircled with delicate white diamonds. , Style Tip: Style it with diamond bangles.",https://img.faballey.com/images/Product/ZNS00031/d3.jpg,https://img.faballey.com/images/Product/ZNS00031/d4.jpg,https://img.faballey.com/images/Product/ZNS00031/d5.jpg,https://img.faballey.com/images/Product/ZNS00031/d6.jpg,,
Rose Gold Plated Crystal Necklace Set,4900,2450,"Give your festive look a magnificent feel with this rose gold plated necklace set. Crafted in a square shape and encrusted with CZ diamonds this necklace set is one of a kind piece to have and cherish. , , Style Tip: Pair the necklace set with a cocktail sari and complete the look with subtle makeup. , , Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, color, and shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.",https://img.faballey.com/images/Product/ZNS00064/d3.jpg,https://img.faballey.com/images/Product/ZNS00064/d4.jpg,https://img.faballey.com/images/Product/ZNS00064/d5.jpg,https://img.faballey.com/images/Product/ZNS00064/d6.jpg,,
Gold Kundan Multicolor Stone Earring Necklace Set,4000,2000,"Classic and timeless, this kundan and multicolor bead set is what makes your jewellery collection unfading. Features a necklace crafted from strings of kundan stones and green and red beads., Style Tip: Pair this set with a cocktail ring to complete the look.",https://img.faballey.com/images/Product/ZNS00053/d3.jpg,https://img.faballey.com/images/Product/ZNS00053/d4.jpg,https://img.faballey.com/images/Product/ZNS00053/d5.jpg,https://img.faballey.com/images/Product/ZNS00053/d6.jpg,,
Gold Green Kundan Bead Drop Earring Necklace Set,7500,3750,"Glam up this festive season with this stunner of a gold plated kundan set. Features a layered kundan necklace with a green drop along with matching dangler earrings , , Style Tip: Pair the set with a off-shoulder blouse",https://img.faballey.com/images/Product/ZNS00018/d3.jpg,https://img.faballey.com/images/Product/ZNS00018/d4.jpg,https://img.faballey.com/images/Product/ZNS00018/d5.jpg,https://img.faballey.com/images/Product/ZNS00018/d6.jpg,,
Gold Kundan Cascade Earring Necklace Set,4500,2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with pearl drop beads and matching earrings , Style Tip : Style your hair in starlet waves to complement the elegance of the set.",https://img.faballey.com/images/Product/ZNS00039/d3.jpg,https://img.faballey.com/images/Product/ZNS00039/d4.jpg,https://img.faballey.com/images/Product/ZNS00039/d5.jpg,https://img.faballey.com/images/Product/ZNS00039/d6.jpg,,
Gold Kundan Red Drop Meena Earring Necklace Set,4500,2250,"A classic and delicate piece like this red beaded kundan set is a must-have in every jewellery collection. Features a necklace crafted from kundan stones and red beads , Style Tip : Pair this with a mangtika with red bead drops.",https://img.faballey.com/images/Product/ZNS00054/d3.jpg,https://img.faballey.com/images/Product/ZNS00054/d4.jpg,https://img.faballey.com/images/Product/ZNS00054/d5.jpg,https://img.faballey.com/images/Product/ZNS00054/d6.jpg,,
Gold Kundan Multi Pearl String Earring Necklace Set,4000,2000,"A beautiful amalgamation of kundan and yellow pearls, this neckpiece will see you through your afternoon soirees to your cocktail evenings. Features a neat setting of pearls and kundan , Style Tip: Style this with a lush white blazer to give your western wear a romantic sartorial twist.",https://img.faballey.com/images/Product/ZNS00048/d3.jpg,https://img.faballey.com/images/Product/ZNS00048/d4.jpg,https://img.faballey.com/images/Product/ZNS00048/d5.jpg,https://img.faballey.com/images/Product/ZNS00048/d6.jpg,,
Dual Gold Kundan Green Bead Earring Necklace Set,3500,1750,"Give your festive look a sparkling finish with this classic kundan and green bead set. Features a necklace crafted from layers of kundan stones accentuated with delicate green bead clusters. , Style Tip : Wear it with earrings with a similar jhallar effect.",https://img.faballey.com/images/Product/ZNS00055/d3.jpg,https://img.faballey.com/images/Product/ZNS00055/d4.jpg,https://img.faballey.com/images/Product/ZNS00055/d5.jpg,https://img.faballey.com/images/Product/ZNS00055/d6.jpg,,
Gold Textured Contemporary Choker Necklace Set,2200,1100,"Uplift your everyday neutrals with a simple addition of this gold-plated necklace set. It features a textured statement choker necklace with a pair of dangler earrings. , Style Tip: Wear the piece with a solid jewel-toned maxi dress for a chic morning-to-night look.",https://img.faballey.com/images/Product/ZNS00070/d3.jpg,https://img.faballey.com/images/Product/ZNS00070/d4.jpg,https://img.faballey.com/images/Product/ZNS00070/d5.jpg,https://img.faballey.com/images/Product/ZNS00070/d6.jpg,,
Gold Green Kundan Floral Pendant Necklace Set,4200,2100,"Traditional kundan pieces get a strikingly glamorous update with this gold-plated floral pendant necklace set. The set features a floral pendant and stud earrings crafted with a beautiful mix of kundan, green beads and small crystals. , , Style Tip: Pair the set with a touch-neck blouse. Disclaimer: Our jewelry is handcrafted using natural stones which inherently vary in size, colour, and Shape, due to which the product you receive may be slightly different from what is shown. There may be natural blemishes in the stones that are not product flaws, but in fact, are what make your piece unique.  ",https://img.faballey.com/images/Product/ZNS00063/d3.jpg,https://img.faballey.com/images/Product/ZNS00063/d4.jpg,https://img.faballey.com/images/Product/ZNS00063/d5.jpg,https://img.faballey.com/images/Product/ZNS00063/d6.jpg,https://img.faballey.com/images/Product/ZNS00063/d7.jpg,
Gold Kundan Tukdi Earring Necklace Set,5000,2500,"Old world charm meets modern elegance with this set. Features a gold plated white kundan set with crescent motifs and white enamel detailing, topped with white drop pearls. ,Style Tip: Pair this traditional piece with a saree and pull your hair up in a soft bun.",https://img.faballey.com/images/Product/ZNS00007/d3.jpg,https://img.faballey.com/images/Product/ZNS00007/d4.jpg,https://img.faballey.com/images/Product/ZNS00007/d5.jpg,https://img.faballey.com/images/Product/ZNS00007/d6.jpg,,
Gold Bead Cluster Earring Neckace Set,3600,1800,"Dive into the festivities with this classic necklace set that spells tradition. Clusters of white beads are crafted together beautifully to form this delightful necklace set., Style Tip : Pair the set an iv and gold saree.",https://img.faballey.com/images/Product/ZNS00034/d3.jpg,https://img.faballey.com/images/Product/ZNS00034/d4.jpg,https://img.faballey.com/images/Product/ZNS00034/d5.jpg,https://img.faballey.com/images/Product/ZNS00034/d6.jpg,,
Gold Kundan Blue Bead Earring Necklace Set,3500,1750,"This statement kundan and blue bead set is what dream treasure troves are made of. Features a double blue bead string necklace with kundan drops and matching earring , , Style Tip: Keep the outfit light to work the look right.",https://img.faballey.com/images/Product/ZNS00041/d3.jpg,https://img.faballey.com/images/Product/ZNS00041/d4.jpg,https://img.faballey.com/images/Product/ZNS00041/d5.jpg,https://img.faballey.com/images/Product/ZNS00041/d6.jpg,,
White Diamond Aqua Drop Earring Necklace Set,4900,2450,"Take the glamour quotient up a few notches with this aqua drop diamond set. Featuring an enchanting aqua stone drop on the necklace and earrings, this set is equal parts sizzling siren and sophisticated. , Style Tip: Pick a deep neck top to flaunt every bit of this set.",https://img.faballey.com/images/Product/ZNS00013/d3.jpg,https://img.faballey.com/images/Product/ZNS00013/d4.jpg,https://img.faballey.com/images/Product/ZNS00013/d5.jpg,https://img.faballey.com/images/Product/ZNS00013/d6.jpg,,
Gold Kundan Pear Dainty Drop Earrings Necklace Set,3500,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a necklace crafted out of oval shaped kundan stones and pearl cluster drops along with earrings. , Style Tip: Complete the look with kundan and pearl bangles.",https://img.faballey.com/images/Product/ZNS00046/d3.jpg,https://img.faballey.com/images/Product/ZNS00046/d4.jpg,https://img.faballey.com/images/Product/ZNS00046/d5.jpg,https://img.faballey.com/images/Product/ZNS00046/d6.jpg,,
Green Bead Kundan Earring Necklace Set,3500,1750,"Add a dash of color to your evening look with this green beaded kundan set. Features a necklace crafted of two strings of green beads and kundan drops along with matching earrings , Style Tip: Add a mangtika to add some drama to the look.",https://img.faballey.com/images/Product/ZNS00043/d3.jpg,https://img.faballey.com/images/Product/ZNS00043/d4.jpg,https://img.faballey.com/images/Product/ZNS00043/d5.jpg,https://img.faballey.com/images/Product/ZNS00043/d6.jpg,,
Gold Kundan Earring Pearl String Pendant Necklace Set,3000,1500,"Your search for the perfect rani haar ends here. Features a long necklace made of a statement kundan pendant and pearl beaded strings, and kundan earrings. , Style Tip: Paired with a sleek saree, make this set your pick for a cocktail-do.",https://img.faballey.com/images/Product/ZNS00008/d3.jpg,https://img.faballey.com/images/Product/ZNS00008/d4.jpg,https://img.faballey.com/images/Product/ZNS00008/d5.jpg,https://img.faballey.com/images/Product/ZNS00008/d6.jpg,,
